conta;territorio;codtroll
icms_total;MATO GROSSO DO SUL;CONFAZ12_ICMSMS12
icms_total;ACRE;CONFAZ12_ICMSAC12
icms_total;AMAZONAS;CONFAZ12_ICMSAM12
icms_total;PARA;CONFAZ12_ICMSPA12
icms_total;RONDONIA;CONFAZ12_ICMSRO12
icms_total;AMAPA;CONFAZ12_ICMSAP12
icms_total;RORAIMA;CONFAZ12_ICMSRR12
icms_total;TOCANTINS;CONFAZ12_ICMSTO12
icms_total;MARANHAO;CONFAZ12_ICMSMA12
icms_total;PIAUI;CONFAZ12_ICMSPI12
icms_total;CEARA;CONFAZ12_ICMSCE12
icms_total;RIO GRANDE DO NORTE;CONFAZ12_ICMSRN12
icms_total;PARAIBA;CONFAZ12_ICMSPB12
icms_total;PERNAMBUCO;CONFAZ12_ICMSPE12
icms_total;ALAGOAS;CONFAZ12_ICMSAL12
icms_total;SERGIPE;CONFAZ12_ICMSSE12
icms_total;BAHIA;CONFAZ12_ICMSBA12
icms_total;MINAS GERAIS;CONFAZ12_ICMSMG12
icms_total;ESPIRITO SANTO;CONFAZ12_ICMSES12
icms_total;RIO DE JANEIRO;CONFAZ12_ICMSRJ12
icms_total;SAO PAULO;CONFAZ12_ICMSSP12
icms_total;PARANA;CONFAZ12_ICMSPR12
icms_total;SANTA CATARINA;CONFAZ12_ICMSSC12
icms_total;RIO GRANDE DO SUL;CONFAZ12_ICMSRS12
icms_total;MATO GROSSO;CONFAZ12_ICMSMT12
icms_total;GOIAS;CONFAZ12_ICMSGO12
icms_total;DISTRITO FEDERAL;CONFAZ12_ICMSDF12
icms_total;BRASIL;CONFAZ12_ICMSN12
outros_tributos_ipva;MATO GROSSO DO SUL;CONFAZ12_IPVAMS12
outros_tributos_ipva;ACRE;CONFAZ12_IPVAAC12
outros_tributos_ipva;AMAZONAS;CONFAZ12_IPVAAM12
outros_tributos_ipva;PARA;CONFAZ12_IPVAPA12
outros_tributos_ipva;RONDONIA;CONFAZ12_IPVARO12
outros_tributos_ipva;AMAPA;CONFAZ12_IPVAAP12
outros_tributos_ipva;RORAIMA;CONFAZ12_IPVARR12
outros_tributos_ipva;TOCANTINS;CONFAZ12_IPVATO12
outros_tributos_ipva;MARANHAO;CONFAZ12_IPVAMA12
outros_tributos_ipva;PIAUI;CONFAZ12_IPVAPI12
outros_tributos_ipva;CEARA;CONFAZ12_IPVACE12
outros_tributos_ipva;RIO GRANDE DO NORTE;CONFAZ12_IPVARN12
outros_tributos_ipva;PARAIBA;CONFAZ12_IPVAPB12
outros_tributos_ipva;PERNAMBUCO;CONFAZ12_IPVAPE12
outros_tributos_ipva;ALAGOAS;CONFAZ12_IPVAAL12
outros_tributos_ipva;SERGIPE;CONFAZ12_IPVASE12
outros_tributos_ipva;BAHIA;CONFAZ12_IPVABA12
outros_tributos_ipva;MINAS GERAIS;CONFAZ12_IPVAMG12
outros_tributos_ipva;ESPIRITO SANTO;CONFAZ12_IPVAES12
outros_tributos_ipva;RIO DE JANEIRO;CONFAZ12_IPVARJ12
outros_tributos_ipva;SAO PAULO;CONFAZ12_IPVASP12
outros_tributos_ipva;PARANA;CONFAZ12_IPVAPR12
outros_tributos_ipva;SANTA CATARINA;CONFAZ12_IPVASC12
outros_tributos_ipva;RIO GRANDE DO SUL;CONFAZ12_IPVARS12
outros_tributos_ipva;MATO GROSSO;CONFAZ12_IPVAMT12
outros_tributos_ipva;GOIAS;CONFAZ12_IPVAGO12
outros_tributos_ipva;DISTRITO FEDERAL;CONFAZ12_IPVADF12
outros_tributos_ipva;BRASIL;CONFAZ12_IPVA12
outros_tributos_itcd;MATO GROSSO DO SUL;CONFAZ12_ITCDMS12
outros_tributos_itcd;ACRE;CONFAZ12_ITCDAC12
outros_tributos_itcd;AMAZONAS;CONFAZ12_ITCDAM12
outros_tributos_itcd;PARA;CONFAZ12_ITCDPA12
outros_tributos_itcd;RONDONIA;CONFAZ12_ITCDRO12
outros_tributos_itcd;AMAPA;CONFAZ12_ITCDAP12
outros_tributos_itcd;RORAIMA;CONFAZ12_ITCDRR12
outros_tributos_itcd;TOCANTINS;CONFAZ12_ITCDTO12
outros_tributos_itcd;MARANHAO;CONFAZ12_ITCDMA12
outros_tributos_itcd;PIAUI;CONFAZ12_ITCDPI12
outros_tributos_itcd;CEARA;CONFAZ12_ITCDCE12
outros_tributos_itcd;RIO GRANDE DO NORTE;CONFAZ12_ITCDRN12
outros_tributos_itcd;PARAIBA;CONFAZ12_ITCDPB12
outros_tributos_itcd;PERNAMBUCO;CONFAZ12_ITCDPE12
outros_tributos_itcd;ALAGOAS;CONFAZ12_ITCDAL12
outros_tributos_itcd;SERGIPE;CONFAZ12_ITCDSE12
outros_tributos_itcd;BAHIA;CONFAZ12_ITCDBA12
outros_tributos_itcd;MINAS GERAIS;CONFAZ12_ITCDMG12
outros_tributos_itcd;ESPIRITO SANTO;CONFAZ12_ITCDES12
outros_tributos_itcd;RIO DE JANEIRO;CONFAZ12_ITCDRJ12
outros_tributos_itcd;SAO PAULO;CONFAZ12_ITCDSP12
outros_tributos_itcd;PARANA;CONFAZ12_ITCDPR12
outros_tributos_itcd;SANTA CATARINA;CONFAZ12_ITCDSC12
outros_tributos_itcd;RIO GRANDE DO SUL;CONFAZ12_ITCDRS12
outros_tributos_itcd;MATO GROSSO;CONFAZ12_ITCDMT12
outros_tributos_itcd;GOIAS;CONFAZ12_ITCDGO12
outros_tributos_itcd;DISTRITO FEDERAL;CONFAZ12_ITCDDF12
outros_tributos_itcd;BRASIL;CONFAZ12_ITCD12
outros_tributos_taxas;BRASIL;CONFAZ12_TAXAS12
outros_tributos_outros;BRASIL;CONFAZ12_OUT12
